,Date,Type,Operator,Fatalities,Route,Location,Country,Summary,rtva2
3244,9/12/1980,Douglas DC-3,Florida Commuter Airlines,34.0,West Palm Beach - Freeport Grand Bahama Islands,"Off Freeport, Bahamas",Bahamas,"The aircraft crashed into the AtlantiOcean about 3.5 nm SW of West End Settlement in low ceiling and thunderstorm activity. The cause was unable to be determined. Contributing factors include flight into thunderstorm activity, a malfunctioning pitot tube and improper supervision by airline management.",8
3245,9/14/1980,Lockheed Hercules C-130,Military - Force Aérienne Zaïroise,36.0,,"Kindu, Zaire",Zaire,Crashed on takeoff after losing one engine.,6
3246,9/15/1980,Lockheed C-130E,Military - Royal Saudi Air Force,89.0,,"Near Medina, Saudi Arabia",Saudi Arabia,Crashed into the desert after taking off. Report of an in-flight fire.,13
3247,9/17/1980,de Havilland DHC-5 Buffalo,Military - Zairean Air Force,36.0,,"Near Kindu, Zaire",Zaire,Crashed shortly after taking off.,6
3248,9/22/1980,Britten-Norman BN-2A-27 Islander,Flugfelag Austurlands,3.0,,"Mount Smjorfjollum, Iceland",Iceland,Crashed into a mountain while en route.,8
3249,9/30/1980,Antonov AN-12V,Military - Soviet Air Force,45.0,,"Badakshan, Afghanistan",Afghanistan,Shot down by Afghan guerrilla forces as it prepared to land.,12
3250,10/24/1980,Beechcraft E18S,Tampa Air Center - Air Taxi,3.0,"Bartow, FL - Lake City, FL","Gainsville, Florida",USA,"The aircraft experienced engine failure on final approach and collided with electronitowers. Inadequate maintenance and inspection of fuel system, filters, strainers and screens.",8
3251,11/4/1980,Lockheed C-130H Hercules,Fuerza Aérea Venezolana,11.0,,"Caracas, Venezuela",Venezuela,Engine failure.,10
3252,11/12/1980,Lockheed C-141A,Military - U.S. Air Force,13.0,Ramstein AB - Cairo,"Near Cairo, Egypt",Egypt,Descended at an excessive sink rate at a banked angle until it crashed to the ground as it prepared to land at Cairo Airport.,6
3253,11/17/1980,Britten-Norman BN-2A Trislander,Provincial Air Services,4.0,,"Annanberg, Papua New Guinea",Papua New Guinea,,17
3254,11/19/1980,Boeing B-747-2B5B,Korean Airlines,15.0,Anchorage - Seoul,"Seoul, South Korea",South Korea,Undershot runway and crashed while landing in fog. Crew error.,12
3255,11/24/1980,Douglas C-47A-35-DL,F.R. de la Direccion General de Ados,20.0,,"Near Medellin, Colombia",Colombia,"The aircraft crashed into a mountain at 9,500 ft. while descending to land. Continued VFR flight in deteriorating weather at low altitude in a mountainous area.",9
3256,11/28/1980,Douglas DC-7B,Central Air Services,2.0,,"Pecos City, Texas",USA,The cargo plane entered a steep bank shortly after takeoff and crashed. Complete engine failure/flameout No.1 engine. Powerplant failure for undetermined reasons. Pilot-in-command  failed to obtain/maintain flying speed. Improper emergency procedures,6
3257,12/5/1980,Piper PA-42 Cheyenne,Tanzania Aviation,10.0,Dodoma - Dar es Salaam,"Dar es Salaam, Tanzania",Tanzania,,9
3258,12/7/1980,Beechcraft B90,Queen Airmotive - Air Taxi,4.0,"Chicago, IL - Michigan City, IL","Michigan City, IN",IN,Crashed on final approach and came to rest in water. Elevator assembly detached due to missing bolt.,3
3259,12/12/1980,Piper PA-32,Penninsula Airways - Air Taxi,4.0,"King Cove, AK - Cold Bay, AK","Cold Bay, Alaska",USA,"Pilot misjudged altitude and crashed in snow, gusting winds and dark night while en route.",7
3260,12/16/1980,Britten-Norman BN-2A Trislander,Eagle Airways,2.0,,"Tumut,, Australia",Australia,Crashed in mountains while en route.,10
3261,8/27/1981,Vickers Viscount 745D,Aeropesca Colombia,50.0,Florence - Neiva,"Mt. Elena, Colombia",Colombia,Crashed in the jungle on a mountain peak. Flying VFR in meteorological conditions below minima.,9
3262,1/20/1981,Beechcraft 99A,Cascade Airways,7.0,Moses Lake - Spokane,"Spokane, Washington",USA,"During an instrument approach, the aircraft descended below 3,500 ft. and impacted rising terrain became airborne, went over a hilltop and came to rest 1,380 ft. further on. A fire started in the area of the right engine and spread throughout the fuselage. A premature descent to minimum descent altitude based on the flightcrew's use of an incorrect distance measuring equipment frequency and the flightcrew's subsequent failure to remain at or above MDA.",11
3263,1/27/1981,Aero Commander 681,Orcon Inc. - Air Taxi,2.0,"Reno, NV - Winnemucca, NV","Winnemucca, Nevada",USA,"Pilot transmitted he had runway in slight but crashed short of runway. Rain, snow and turbulence with thunderstorms in the area.",7
3264,2/7/1981,Tupolev TU-104A,Military - Soviet Navy,52.0,,"Near Leningrad, Russia",Russia,Crashed shortly after taking off approximately 10 miles north of Leningrad.,7
3265,2/10/1981,Cessna 310R,Walker - Watts Aviation - Air Taxi,4.0,"New Orleans, LA - Houma, LA","Houma, Louisiana",USA,Crashed on final approach after encountering windshear. Pilot not briefed on possibility of turbulence and windshear by FSS personnel.,10
3266,2/11/1981,Lockheed 1339,Private - Corporate,8.0,"White Plains, NY - Toronto, Canada - White Plains, NY","White Plains, New York",USA,"Crashed in rain, fog, windshear.  Pilot distracted as a result of a major electrical system failure. Undetected deviation from flightpath.",9
3267,2/22/1981,Sikorsky S-62A,Helicopter - Air Taxi,2.0,"San Pedro, CA - Avalon, CA","Avalon, California",USA,The main rotor disk failed from a fatigue fracture while attempting to land.,11
3268,2/24/1981,Embraer 110P Bandeirante,VOTEC,11.0,Tucurui - Belem,"Belem, Brazil",Brazil,Crashed into a tug boat and barges while on approach in heavy rain and wind and broke in two.,7
3269,2/25/1981,Cessna 310R,Berkshire Aviation - Air Taxi,2.0,"North Adams, MA - New York, NY","North Adams, Massachusetts",USA,Failed to obtain flying speed on takeoff and crashed. Airframe icing. Pitot heat off.,14
3270,2/26/1981,Lockheed MC-130E-Y,Military - U.S. Air Force,23.0,,Off Tabones Island  Philippines,Off Tabones Island  Philippines,"The military transport crashed into SubiBay, 15 miles west-northwest of Cubi Point Naval Air Station where it had taken off an hour earlier and where it was on approach to land. Witnesses saw the aircraft flying at a low altitude just before crashing into the sea and exploding in flames.",0
3271,3/2/1981,Cessna T210N,Air Chaparral - Air Taxi,2.0,"Fallon, NV - Austin, NVq","Fallon, Nevada",USA,"Flew into the ground in rain, snow and low visibility. Six minutes before accident pilot radioed weather in the pass was getting lower and lower. Continued VFR flight into adverse weather.",7
3272,3/10/1981,Dassault-Breguet Atlantique,Military - French Naval Aviation,18.0,,"Moroni, Comoro Islands",Comoro Islands,"As the plane was taking off, one of the engines failed and after climbing to 500 ft., the aircraft plunged to earth and exploded in flames.",15
3273,3/15/1981,Boeing RC-135S,Military - U.S. Air Force,6.0,Fairbanks - Shemya AFB,"Shemya AFB, Alaska",USA,Hit the ground short of the runway in snow and fog.,7
3274,3/26/1981,Antonov AN-24B,LOT Polish Airlines,1.0,,"Redzikowo, Poland",Poland,Separation of a propeller blade caused a forced landing resulting the the plane crashing and burining.,7
3275,3/27/1981,Piper PA-31,Galena Air Service - Air Taxi,4.0,"Hughes, AK - Galena, AK","Galena, Alaska",USA,"Lost an engine during a go around, began to climb, entered a steep left bank and crashed. Engine failure for unknown reasons.",7
3276,4/1/1981,Cessna 402,Talair,8.0,,"Mt. Hagen, Papua, New Guinea",New Guinea,,11
3277,4/6/1981,Douglas C-47A,Urcupina,7.0,,"Laguna Soliz, Bolivia",Bolivia,The cargo plane flew into the ground while trying to avoid bad weather.,8
3278,4/7/1981,Learjet 23,Freedom International,1.0,Cincinnati - Detroit,"Cincinnati, Ohio",USA,"While climbing through 3,800 ft., a Loon collided with the cargo plane penetrating the windshield. The copilot was killed and the captain sustained serious injuries. Debris from the windshield were ingested by the No.2 engine which had to be shut down. The pilot returned to the airport for a successful emergency landing.",5
3279,4/17/1981,Hadley Page 137Jetstream I / Cessna 206,Air US / Private,15.0,"Denver, CO - Gillette, WY","Loveland, Colorado",USA,"A midair collision occurred 2 nm east-southeast of Loveland, Colorado at 13,000 ft.. Two killed and 3 injured on the Cessna and 13 killed on the Jetstream. The failure of the Cessna pilot to establish communications with the Denver Center and his climbing into controlled airspace above 12,500 ft without an authorized transponder. Contributing factor was the fact that existing regulations did not prohibit parachute jumping in or immediately adjacent to federal airways.",9
3280,4/28/1981,Douglas C-47A-5-DK,Airfast Indonesia,15.0,,"Pekanbaru, Indonesia",Indonesia,Crashed during final approach. Hudbay Oil Co. charter.,10
3281,5/6/1981,Boeing EC-135N,Military - U.S. Air Force,21.0,Training,"Near Fredrick, Maryland",USA,"While cruising at FL 210, the pitch trim moved to the full nose-down position. Gravational forces from the resulting dive led to the break-up of the aircraft.",9
3282,5/7/1981,BAC One-Eleven 529FR,Austral Lineas Aeras (Argentina),31.0,Tucuman - Buenos Aires,"Rio de la Plata, Argentina",Argentina,The aircraft crashed into a river bed after two missed approaches and while in a holding pattern. Severe turbulence and thunderstorms where occurring in area. Loss of control of the aircraft and impact with the water by an error of the pilot in assessing the meteorological conditions on crossing through a zone of extremely violent cumulonimbus clouds. Windshear.,10
3283,5/16/1981,Lockheed L-100-20 Hercules,TAAG Angola Airlines,4.0,,"Near Menongue, Angola",Angola,Shot down by a surface-to-air missile.,7
3284,5/21/1981,Convair CV-440-11,Lineas Aereas,20.0,Oaxaca - Puerto Escondido,"Pinarete Mountain, Mexico",Mexico,"Crashed into a mountain at 8,800 feet obscured by clouds.",7
3285,5/22/1981,de Havilland Canada DHC-6 Twin Otter 300,TAME,18.0,,"Near Zumba, Ecuador",Ecuador,Crashed into a mountain in fog.,8
3286,5/24/1981,Beech Super King Air 200/DHC6-Twin Otter,Military - Ecuadorean Air Force,27.0,Quito - Macara,"Near Guachala, Ecuador",Ecuador,Crashed and burned after a mid-air collision over mountainous terrain in rain and fog.  Nine killed aboard the Beech and 16 aboard the Twin Otter.,8
3287,5/28/1981,Beechcraft 58,Shanair Inc. - Air Taxi,2.0,"Avalon, CA - Visalia, CA","Avalon, California",USA,"After taking off the plane circled three time at a low altitude. On the third pass the aircraft experienced a slow roll, the nose dropped and the plane crashed into the water. Unwarranted low flying. Misjudged speed and exercised poor judgment.",11
3288,5/29/1981,Lockheed C-130H Hercules,Military - Egyptian Air Force,17.0,,"Cairo, Egypt",Egypt,,6
3289,6/13/1981,Ilyushin Il-14,Aeroflot,52.0,Ulan - Severomuysk,"Ust-Barguzin, Russia",Russia,The crew informed ATC they could see the field but crashed 30 km from the airport.,7
3290,6/13/1981,Britten-Norman BN-2A-8 Islander,Taiwan Airlines,2.0,,"Hualien, Taiwan",Taiwan,Crashed into a mountain during a typhoon.,7
3291,6/17/1981,Douglas DC-3,Taxi Aéreo el Venado,2.0,,"Miraflores, Colombia",Colombia,With one engine out and attempting an emergency landing the aircraft had to go-around because of a plane on the runway. While attempting a second landing from the opposite direction the aircraft ditched into a lake.,9
3292,6/26/1981,Hawker Siddeley HS-748,Dan Air Services,3.0,London - East Midlands,"Nailstone, England",England,"The the right rear door  of the cargo plane detached and struck the horizontal tail plane and became lodged on the leading edge. Control was lost, and the aircraft entered a steep dive. During the dive, the wings and tail plane failed due to overstressing.",8
3293,6/30/1981,Cessna 401,G & W Aviation,5.0,"Muskegon, MI - Pontiac, MI","Muskegon, Michigan",USA,The aircraft experienced engine failure on takeoff and crashed. Power plant failure for reasons unknown. Improper emergency procedures.,9
3294,7/18/1981,Canadair CL-44D4-6,TAR,4.0,"Tehran, Iran - Larnaca, Cyprus","Near Yerevan, Armenia",Armenia,The cargo plane was brought down after a Soviet fighter jet crashed into the tail of the Canadair. The plane had strayed into Soviet airspace.,8
3295,7/20/1981,Fokker F-27 Friendship 600RF,Somali Airlines,50.0,Mogadishu- Hargeisa,"Mogadishu, Somalia",Somalia,Part of the right wing separated from the plane after the aircraft entered an area of heavy rain and severe turbulence and went into a spiral dive 8 minutes after takeoff.,8
3296,7/23/1981,Beechcraft 58TC,Air Taxi,4.0,"Kansas City, MO - York, NE","Kansas City, Kansas",USA,The aircraft experienced an uncontrolled descent shortly after taking off. Left and right elevator trim actuators reversed during installation. Elevator trim arms extended 23 degrees nose down.,7
3297,7/24/1981,de Havilland Canada DHC-6 Twin Otter 300,Air Madagascar,19.0,,Madagascar,Madagascar,Flew into a mountain.,0
3298,7/25/1981,Douglas C-53D-DO,Transamazonica,4.0,,"Caruru, Colombia",Colombia,The aircraft crashed short of the runway while attempting to land after a severe vibration required the crew to shut down the engine and feather the propeller.,9
3299,7/27/1981,McDonnell Douglas DC-9-32,Aeromexico,30.0,Monterey - Chihuahua,"Chihuahua, Mexico",Mexico,"While landing in adverse weather conditions, the aircraft landed right of the runway, bounced and struck the ground. The fuselage broke in two and caught fire. Thunderstorms and strong turbulence in the area associated with a tropical air mass.",7
3300,8/11/1981,Piper PA-32,Skagway Air Service - Air Taxi,6.0,"Skagway, AK - Local","Skagway, Alaska",USA,"The aircraft's right wing impacted a boulder while exiting the mouth of a 3,000 ft. canyon while in a 45 degree bank. Pilot misjudged altitude and clearance.",7
3301,8/22/1981,Boeing B-737-222,Far Eastern Air Transport,110.0,Taipei - Kaohsiung,"Near Sanyi, Miao-li, Taiwan",Taiwan,The aircraft experienced in-flight structural failure. Severe corrosion in belly of plane led to a pressure hull rupture and disintegration of the plane.,7
3302,8/24/1981,Antonov AN-24RV / Soviet Air Force TU-16,Aeroflot / Military - Russian Air Force,31.0,Komsomol'sk-na-Amure - Blagoveshchensk,"Near Zavitinsk, Russia",Russia,"Midair collision with a Soviet Air Force TU-16. The only surviving passenger, a 20 year old woman was found in a forest 3 days later. Poor communication between civilian and military ATCs.",7
3303,8/29/1981,Yakovlev YAK-40,Aeroflot,3.0,Chita - Zeya,"Zeya, Russia",Russia,"Flew into trees short and to the right of the runway, crashed and caught fire. Crew descended below minimums without visual contact with the ground.",7
3304,9/2/1981,Embraer 110P1 Bandeirante,Taxi Aereo el Venado,21.0,,"Paipa, Colombia",Colombia,The aircraft was unable to gain altitude upon taking off. After turning left the plane struck a hill. Overloaded.,9
3305,9/18/1981,Yakovlev YAK-40 / Mil Mi-8,Aeroflot /Military - Russian,33.0,,"Zeleznogorsk, Russian",Russian,Midair collision with a military Mi-8 helicopter.,8
3306,9/21/1981,Lockheed C-130H Hercules,Military - U.S. Air Force,7.0,"Fort Lewis, WA - Indian springs, NV","Nellis AFB, Nevada",USA,Crashed short of the runway. The plane was carrying infantry troops.,7
3307,9/22/1981,Northrop F-5A,Military - Turkish Air Force,0.0,,"Near Babaeski, Turkey",Turkey,The fighter crashed into a village after the pilot ejected from the plane.,7
3308,9/29/1981,Lockheed C-130H,Military - Iranian Air Force,60.0,Ahwaz - Tehran,"Tehran, Iran",Iran,Crashed into Tir Square while on approach to land. Killed were Iran's Defense Minister and other military officals.,5
3309,10/1/1981,Learjet 24,Sky Train Air,3.0,"Casper, WY - McAllen, TX","Casper, Wyoming",USA,"A loss of control, possibly initiated by an unexpected encounter with moderate to severe clear air turbulence, which caused the aircraft to depart the narrow flight envelope boundaries in which it was operating and from which recovery was not effected.",8
3310,10/6/1981,Fokker F-28 Fellowship 4000,NLM (Nederlandse Luchtvaart Maatschappij),17.0,Rotterdam - Eindhoven - Hamburgh,"Moerdijk, Netherlands",Netherlands,The aircraft entered an area of severe turbulence and a tornado which resulted in the separation of the right wing and in-flight break up.,12
3311,10/15/1981,Cessna 404 Titan,Oefag Flugdienst,9.0,,"Kufstein, Austria",Austria,Crashed into a mountain.,8
3312,10/26/1981,Lockheed L-749A Constellation,Aerolineas Argo,5.0,Saint Croix - Saint Thomas,"St. Thomas, U.S. Virgin Islands",U.S. Virgin Islands,After executing a turn to avoid traffithe cargo plane struck the ocean. Pilot misjudged the altitude and clearance.,20
3313,10/31/1981,de Havilland Canada DHC-6 Twin Otter 300,Cameroon Airlines,1.0,,"Bafoussam, Cameroon",Cameroon,"The aircraft took off, lost altitude, settled back on the runway and overshot the runway. The aircraft was overloaded. Other factors were the pilot misjudged the distance and speed during the takeoff and lack of proper pre-flight planning.",9
3314,11/8/1981,McDonnell Douglas DC-9-32,Aeromexico,18.0,Acapulco - Guadalajara,"Sierra de Guerro, Mexico",Mexico,The flight struck a mountain during an emergency descent due to explosive decompression. Crew's failure to follow approved emergency procedures.,7
3315,11/15/1981,Piper PA-32,Moyer Aviation - Air Taxi,4.0,"Millinocket, ME - Mount Pocono, PA","Mount Pocono, Pennsylvania",USA,Collided with trees on final approach. Improper IFR operation. Failed to follow approved procedures.,13
3316,11/16/1981,Tupolev TU-154B-2,Aeroflot,99.0,Krasnoyarsk - Norilsk,"Norilsk, Russia",Russia,The plane acquired excessive vertical speed and descended below the glideslope while attempting to land. The aircraft impacted terrain in an open field and slid across frozen ground for about 300 m. The high descent rate could not be countered by applying maximum elevator trim. Malfunctioning elevator.,7
3317,11/19/1981,Pilatus PC-6/B2-H2 Turbo-Porter,Royal Nepal Airlines,10.0,,"Biratnagar, Nepal",Nepal,Crashed after takeoff.,6
3318,11/30/1981,Douglas DC-6A,Guyana Airways,3.0,,"Castries, Saint Lucia Island",Saint Lucia Island,Engine failed during takeoff. The cargo plane crashed while returning to the field.,19
3319,12/1/1981,McDonnell Douglas MD-81,Inex Adria Aviopromet (Yugoslavia),180.0,Ljubljana - Ajaccio,"Mt. San Pietro, near Ajaccio, Corsica, France",France,The aircraft crashed into a mountain during an approach to Camp dell Oro Airport in heavy fog. The crew was not properly prepared for the approach. The minimum altitude and maximum speed limits of the holding pattern were probably not retained. Imprecise language used by the crew and air trafficontroller.,7
3320,12/5/1981,Beech C-45H,Private - Parajump air show,11.0,"Haliive, HI  - Honolulu, HI","Honolulu, Hawaii",USA,"Crashed into the water. Improperly loaded aircraft, weight and center of gravity.",7
3321,12/10/1981,Cessna 207A,Spernak Airways - Air Taxi,4.0,"Tyonek, AK - Anchorage, AK","Tyonek, Alaska",USA,Crashed into water during initial climb. Probable cause unknown.,7
3322,12/15/1981,Cessna 185,Hudson Air Service - Air Taxi,2.0,"Talkeetna, AK - Return","Mt. McKinley, AK",AK,The aircraft encountered downdrafts while approaching mountain pass and crashed.,3
3323,12/16/1981,Aerospatiale Puma,Bristow Helicopters,12.0,,"Kuala Belait, Brunei",Brunei,,7
3324,12/18/1981,de Havilland Canada DHC-6 Twin Otter 300,ACES Colombia,13.0,,"Near Covenas, Colombia",Colombia,Struck high ground.,9
3325,6/5/1983,Cessna 402B,Linair Express,7.0,Cape Town - Johannesburg,"Cape Town, South Africa",South Africa,Crashed onto a road after taking off.,13
3326,12/31/1981,Piper PA-31,Sun West Airline - Air Taxi,4.0,"Albuquerque, NM - Durango, CO","Durango, Colorado",USA,The pilot failed to execute a successful missed approach for unknown reasons and crashed.,9
3327,1/7/1982,LET  410M Turbojet,Aeroflot,18.0,,"Near Gelendzhik, USSR",USSR,The aircraft crashed into high ground.,5
3328,1/7/1982,Cessna 210,Air Taxi,2.0,,"Helena, Montana",USA,"The aircraft crashed into a mountain at the 9,300 foot level. The pilot was on course for his destination. The minimum obstacle clearance altitude for his location was 10,800 feet. Weather was not a problem but the accident did occur during hours of darkness. The aircraft was in level cruise when the accident happened. Proper altitude not maintained by pilot in command.",8
3329,1/13/1982,Boeing B-737-222,Air Florida,74.0,"Washington D.C. - Fort Lauderdale, FL","Washington, D.C.",D.C.,"The aircraft crashed into the 14th St. bridge and the PotomaRiver and sank shortly after taking off from Washington National Airport. The aircraft reached a peak altitude of 300 ft. The flight crew's failure to use the engine anti-icing system during takeoff. Failure to de-ice the plane a second time before takeoff and taking off with snow/ice on the airfoil surfaces of the aircraft. Ice which accumulated on the engine pressure probes resulted in erroneously high Engine Pressure Ratio (EPR) readings. When the throttles were set to takeoff EPR, the engines were actually developing significantly less than takeoff thrust. The crew's inexperience in icing condtions was a contributing factor.",5
3330,1/14/1982,Antonov AN-26,Military - Ethiopian Air Force,73.0,,"Near Addis Ababa, Ethiopia",Ethiopia,Shot down by rebel forces.,9
3331,1/23/1982,McDonnell Douglas DC-10-30CF,World Airways,2.0,"Newark, NJ - Boston, MA","Logan Airport,  Boston, Massachusett",Massachusett,"While landing on an icy runway, the aircraft touched down 2,800 feet beyond the displaced threshold and slid off the end of the runway into shallow water with the nose section detaching. The minimal braking effectiveness on the ice-covered runway. The crew landed without sufficient information as to runway conditions. Lack of FAA regulations. The pilot's decision to retain autothrottle speed control throughout the flare and the consequent extended touchdown point on the runway contributed to the severity of the accident.",13
3332,1/25/1982,Antonov An-24RV,Tarom,7.0,Training,"Constanta, Romania",Romania,A malfunction of the No. 1 engine feathering system caused the aircraft to lose control and crash.,8
3333,2/3/1982,Nord 2501 Noratlas,Military - French Air Force,35.0,,"Djibouti, Djbouti",Djbouti,Crashed into a mountain before a planned paratroop drop.,8
3334,2/6/1982,Fairchild C-123,Military - Republiof South Korea Air Force,53.0,,"Island of Cheju, South Korea",South Korea,Crashed into Mt. Halla while on approach to land in poor weather. Possible microburst windshear.,12
3335,2/7/1982,Fairchild C-119G,Military - Indian Air Force,23.0,Parhankot - Leh,"Near Srinagar, India",India,Crashed in dirzzle and snow while en route.,6
3336,2/9/1982,McDonnell Douglas DC-8-61,Japan Air Lines,24.0,Fukuoka - Tokyo,"Tokyo, Japan",Japan,"The aircraft flew into shallow water, 100 yards meters short of the runway, after a struggle between a mentally ill captain and the co-pilot and flight engineer. The plane hit approach-light stanchions extending above the bay waters after which the nose broke off. During the approach, the captain, known to have mental problems, put the inboard engines into reverse in an attempt to destroy the aircraft while the co-pilot and flight engineer battled to restrain him.",6
3337,2/9/1982,Douglas DC-3 (C-47A-70-DL),Trans Air Services,3.0,Manila - Sicogon,"Mt. Ipao, Philippines",Philippines,Struck Mt. Ipao on Panay Island.,12
3338,2/19/1982,Douglas DC-6BF,LAC Columbia,4.0,,"Cerro el Tablazo, Colombia",Colombia,The cargo plane crashed into high ground while on apporach to land.,9
3339,2/21/1982,de Havilland DHC -6-100,Pilgrim Airlines,1.0,New York City - Bridgeport - New Haven - Groton - Boston,"Providence, Rhode Island",USA,The aircraft made an emergency landing near a reservoir after a fire erupted in the cockpit while the aircraft was en-route under IFR conditions. The fire spread to the cabin and destroyed the aircraft after impact.  The deficient design of the isopropyl alcohol windshield washer/deicer system and the inadequate maintenance of the system which resulted in an in-flight fire. The ignition source was not determined.,13
3340,3/11/1982,de Havilland Canada DHC-6 Twin Otter 300,Wideroe's Flyveselksap,15.0,Berlevag - Mehamn,"Mehamn, Norway",Norway,"The aircraft crashed while on a flight from Berlevåg to Mehamn after the failure of the tail fin and rudder in moderate turbulence.  Overload due to a combination of clear air turbulence, mountain wave and the pilots spontaneous improper actions. There is some controversy surrounding this crash including the possiblity the aircraft was shot down by or collided with a British NATO Harrier jet fighter.",7
3341,6/24/1982,Boeing B-747,British Airways,0.0,Kuala Lampur - Perth,"Mount Galunggung, Indonesia",Indonesia,"The aircraft flew into a plume from a volcanieruption at 37,000 feet during the night. All engines failed and the windshield lost transparency because of pitting. The first engine was restarted at 12,000 feet, followed by the other three and the plane landed safely at Jakarta. The aircraft was named 'City of Edinburgh.'",10
3342,6/28/1982,Yakovlev YAK-42,Aeroflot,132.0,Leningrad - Kiev,"Southern Belarus, USSR",USSR,"From an altitude of 30,000 ft., a malfunction occurred causing the aircraft to crash 125 miles from its destination. In-flight failure and jamming of stabilizer screw-jack mechanism due to wear.",5
3343,3/19/1982,Beechcraft Bonanza F35,Private,3.0,None,"Leesburg, Florida",USA,"Randy Rhoads, 25, lead guitarist for heavy metal star Ozzy Osbourne was killed when the plane in which he was a passenger crashed into a tour bus and a house. The pilot was attempting to buzz Osbourne's tour bus when after several attempts, the left wing struck the side of the bus puncturing it in two places approximately half way down the right side.  The plane was thrown over the bus, hit a pine tree, severing it approximately 10 feet up from the bottom, before it crashed into the garage of a  house. The plane was an estimated 10-11 feet off the ground traveling at approximately 120 - 150 knots during final impact. Several other members of the group were inside the bus but were not hurt. The pilot,  Andrew Aycock's medical certificate (3rd class) had expired, making his pilots license invalid. All three aboard, Rhoads, Rachel Youngblood, the groups hairdresser and the pilot were killed. Poor judgement by the pilot in buzzing the bus and misjudging clearance of obstacles.",8
3344,3/19/1982,Boeing KC-135C,Military - U.S. Air Force,27.0,,"Near Woodstock, Illinois",USA,"Crashed 40 miles northwest of Chicago O'Hare Airport where it was to have landed. Exploded and dove in an almost vertical attitude from a height of 13,700 ft. into a wooded area, exploded and burned. Most probably overpressurization under the cargo floor and ignition of fuel vapor.",9
3345,3/20/1982,Fokker F-28 Fellowship 1000,Garuda Indonesia Airlines,27.0,Jakarta - Bandar,"Branti Airport, Indonesia",Indonesia,"The plane overran the runway in heavy rain, crashed into a field and burned while attemping to land.",10
3346,3/26/1982,Vickers Viscount 745D,Aeropesca Colombia,21.0,Villavicencio - Bogota,"Queate, Colombia",Colombia,Crashed into a mountain during poor weather conditions.,9
3347,4/11/1982,Hughes 369D,Air Taxi,3.0,"Banddanack, AK - Fairbanks, AK","Near Tanana, Alaska",USA,The aircraft crashed on a snow covered mountain slope in a steep left bank in overcast and snow showers. Continued VFR flight into IFR conditons.,7
3348,4/13/1982,Lockheed C-130H,Military - U.S. Air Force,27.0,Erzurum - Incirlik,"Near Erzurum, Turkey",Turkey,Failure of the No.4 engine followed by separation of the engine and propeller of the No.3 engine.  Overpressurization of the right wing resulting in an explosion and in-flight fire. A Mayday was received from the aircraft before it fell and crashed into mountainous terrain and burst into flames. Attachment bolts to support the No. 4 engine had not been installed.,7
3349,4/26/1982,Hawker Siddeley Trident 2E,CAAC,112.0,Guangzhou - Guilin,"Near Yangshuo, Guangxi, China",China,The aircraft struck a mountain in heavy rain during a landing attempt.,6
3350,4/28/1982,Beechcraft E18S,Air Taxi,2.0,"Hilo, HI - Honalulu, HI","Hakalau, Hawaii",USA,"The aircraft departed Hilo on the last leg of a 3rd flight. A few minutes after takeoff, the pilot called the tower to ask for a return and indicated he had a difficulty. No further transmission was made. Witnesses heard intermittent engine sputtering and then the whine of a high speed dive. The aircraft impacted in a sugar cane field at a steep angle. Reason for occurrence undetermined.",7
3351,4/30/1982,Sikorsky S-76,Okanagan Helicopters,13.0,,Gulf of Thailand,Gulf of Thailand,,0
3352,5/9/1982,de Havilland Canada DHC-7-103,Alyemda,47.0,,"Off Aden, Yemen",Yemen,Crashed into the ocean during an approach 2 km short of the runway.,6
3353,5/12/1982,Lockheed C-130E Hercules,Military - U.S. Air Force,7.0,Training,"Judsonia, Arkansas",USA,Lost a wing and crashed.,9
3354,5/19/1982,Westland Sea King HC-4 (helicopter),Military - Royal British Navy,21.0,,South AtlantiOcean,South AtlantiOcean,"The helicopter, carrying troops from one ship to another during the Falkland Islands war, crashed into the AtlantiOcean. Possible bird strike or component failure.",0
3355,5/25/1982,Boeing B-737-200,VASP,2.0,,"Brazilia, Brazil",Brazil,The aircraft broke in two after a hard landing. The pilot's misuse of rain repellant caused an optical illusion.,7
3356,5/28/1982,Aerospatiale 330G Puma,Pelita Air Service,10.0,,"Off Natuma Island, Indonesia",Indonesia,The helicopter crashed into the sea.,10
3357,6/1/1982,Fairchild C-123,Military - Republiof South Korea Air Force,53.0,,"Near Songnam-si, South Korea",South Korea,Crashed in poor weather conditions after taking off with paratroopers.,12
3358,6/8/1982,Boeing B-727-212A,VASP,137.0,Rio de Janerio - Fortaleza,"Near Pacatuba, Brazil",Brazil,"The aircraft crashed into a 2,500 ft. mountain (Serra da Aratanha) during an approach in heavy rain and fog. Despite two altitude alert system warnings and the co-pilot's warning of the mountains ahead, the captain continued to descend below the minimum descend altitude. Non-observance of air traffiand carrier's procedures.",7
3359,6/12/1982,Fairchild-Hiller FH-227B-LCD,TABA,44.0,Eirunepe - Tabatinga,"Tabatinga, Brazil",Brazil,The plane crashed into the tower during an approach in adverse weather conditions.,7
